tract_split,Year,City,LACity,Community_Name,totUnsheltPeople,totESPeople,totTHPeople,totPeople
101110,2022,Los Angeles,1,Tujunga,4.436,0,0,4.436
101122a,2022,Los Angeles,1,Tujunga,5.93,0,0,5.93
101122b,2022,Los Angeles,1,Tujunga,1.49,0,0,1.49
101210,2022,Los Angeles,1,Tujunga,9.436,0,0,9.436
101220,2022,Los Angeles,1,Tujunga,0,0,0,0
101300a,2022,Los Angeles,1,Tujunga,13.476,0,0,13.476
101300b,2022,Los Angeles,1,Tujunga,5.436,0,0,5.436
101400a,2022,Los Angeles,1,Tujunga,12.72,0,0,12.72
101400b,2022,Los Angeles,1,Tujunga,38.619,0,0,38.619
102103,2022,Los Angeles,1,Shadow Hills,2,0,0,2
102104,2022,Los Angeles,1,Shadow Hills,4.911,0,0,4.911
102105a,2022,Los Angeles,1,Sun Valley,0,0,0,0
102105b,2022,Los Angeles,1,Sun Valley,18.568,0,0,18.568
102107a,2022,Los Angeles,1,Shadow Hills,27.976,0,0,27.976
102107b,2022,Los Angeles,1,Shadow Hills,0,0,0,0
103101a,2022,Los Angeles,1,Sunland,1,0,0,1
103101p,2022,Los Angeles,1,Sunland,24.09,0,0,24.09
103102a,2022,Los Angeles,1,Tujunga,8.141,0,0,8.141
103102b,2022,Los Angeles,1,Sunland,3.517,0,0,3.517
103102c,2022,Los Angeles,1,Sunland,0,0,0,0
103200a,2022,Los Angeles,1,Shadow Hills,22.929,0,0,22.929
103200b,2022,Los Angeles,1,Lake View Terrace,50.891,0,0,50.891
103200c,2022,Los Angeles,1,Sunland,4.386,0,0,4.386
103200d,2022,Unincorporated,2,Kagel/Lopez Canyons,0,0,0,0
103300a,2022,Los Angeles,1,Shadow Hills,0,0,0,0
103300b,2022,Los Angeles,1,Shadow Hills,0,0,0,0
103400a,2022,Los Angeles,1,Sunland,8.424,0,0,8.424
103400b,2022,Los Angeles,1,Sunland,4.944,0,0,4.944
104103,2022,Los Angeles,1,Lake View Terrace,7.351,0,0,7.351
104105a,2022,Los Angeles,1,Lake View Terrace,0,0,0,0
104105b,2022,Los Angeles,1,Pacoima,4.401,0,0,4.401
104108a,2022,Los Angeles,1,Pacoima,7.861,0,0,7.861
104108b,2022,Los Angeles,1,Lake View Terrace,6.475,0,0,6.475
104108c,2022,Los Angeles,1,Pacoima,0,0,0,0
104124a,2022,Los Angeles,1,Lake View Terrace,0,10,0,10
104124b,2022,Los Angeles,1,Lake View Terrace,0,0,0,0
104124c,2022,Unincorporated,2,Kagel/Lopez Canyons,0,0,0,0
104201,2022,Los Angeles,1,Pacoima,95.925,0,0,95.925
104203,2022,Los Angeles,1,Pacoima,2.93,0,0,2.93
104204a,2022,Los Angeles,1,Lake View Terrace,5.056,0,0,5.056
104204b,2022,Los Angeles,1,Pacoima,5.911,0,0,5.911
104204p,2022,Los Angeles,1,Lake View Terrace,0,0,0,0
104310a,2022,Los Angeles,1,Pacoima,62.103,0,0,62.103
104310b,2022,Los Angeles,1,Pacoima,13.101,0,0,13.101
104320,2022,Los Angeles,1,Pacoima,5.823,55,0,60.823
104401,2022,Los Angeles,1,Pacoima,6,0,0,6
104403,2022,Los Angeles,1,Pacoima,39.185,0,0,39.185
