City,Unsheltered,Sheltered,Total
Anaheim,485,589,1074
Brea,24,0,24
Buena Park,85,181,266
Cypress,28,0,28
Fullerton,202,70,272
La Habra,45,0,45
La Palma,8,0,8
Los Alamitos,4,9,13
Orange,134,116,250
Placentia,31,167,198
Stanton,62,148,210
Villa Park,0,0,0
Yorba Linda,4,0,4
Costa Mesa,150,58,208
Fountain Valley,38,0,38
Garden Grove,278,113,391
Huntington Beach,188,142,330
Newport Beach,96,0,96
Santa Ana,508,482,990
Seal Beach,8,0,8
Tustin,86,232,318
Westminster,159,0,159
Aliso Viejo,13,4,17
Dana Point,27,0,27
Irvine,60,0,60
Laguna Beach,28,55,83
Laguna Hills,12,0,12
Laguna Niguel,29,0,29
Laguna Woods,7,0,7
Lake Forest,65,11,76
Mission Viejo,26,2,28
Rancho Santa Margarita,7,0,7
San Clemente,81,50,131
San Juan Capistrano,65,0,65
County Unincorporated,14,36,36
Domestic Violence Programs,0,196,196
